"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSP90AA1",1.89564648541853e-19,12.5663010557694,0.767,0,4.77494393212074e-15
"HSPH1",1.53114906685575e-09,9.96757756634799,0.395,0,3.85681138450294e-05
"USP9Y",1.18512521799082e-10,9.38279507843114,0.442,0,2.98521191159707e-06
"HSPA1A",1.53114906685575e-09,9.10243462758997,0.395,0,3.85681138450294e-05
"TTTY14",6.73689997363518e-07,8.88023230895972,0.279,0,0.0169695773435897
"FAM160A1",6.73689997363518e-07,8.58424840886267,0.279,0,0.0169695773435897
"JUND",2.06157328194506e-07,8.4285679664414,0.302,0,0.00519289693989142
"TUBA1A",6.87758766979899e-06,8.38515179533001,0.233,0,0.173239555814567
"HSP90AB1",2.06157328194506e-07,8.37990191520807,0.302,0,0.00519289693989142
"HSPA8",6.87758766979899e-06,8.35739969845501,0.233,0,0.173239555814567
